city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-15 06:38,2026-05-15 17:29,2026-05-15 10:45,17.0,0.0,0.0,0.0,0.0,0,6.5,298
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-15 04:36,2026-05-15 18:38,2026-05-15 17:45,20.6,0.0,0.0,0.0,0.0,0,5.9,133
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-15 06:24,2026-05-15 20:41,2026-05-15 09:45,16.5,0.0,0.0,0.0,0.0,1,16.9,359
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-15 07:13,2026-05-15 17:19,2026-05-15 18:45,16.4,0.0,0.0,0.0,0.0,2,6.4,25
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-15 05:23,2026-05-15 17:08,2026-05-15 05:45,24.6,0.0,0.0,0.0,0.0,2,12.6,204
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-15 07:40,2026-05-15 17:59,2026-05-15 05:45,8.4,0.0,0.0,0.0,0.0,0,7.1,306
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-15 06:48,2026-05-15 20:03,2026-05-15 04:45,23.2,0.0,0.0,0.0,0.0,0,1.4,157
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-15 05:51,2026-05-15 19:47,2026-05-15 01:45,13.9,0.0,0.0,0.0,0.0,0,4.3,180
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-15 05:23,2026-05-15 20:23,2026-05-15 11:45,17.6,0.0,0.0,0.0,0.0,2,7.2,297
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-15 07:01,2026-05-15 19:17,2026-05-15 16:45,26.5,0.1,0.1,0.0,0.0,51,1.9,107
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-15 04:50,2026-05-15 18:48,2026-05-15 13:15,21.5,0.0,0.0,0.0,0.0,2,9.3,221
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-15 05:46,2026-05-15 18:08,2026-05-15 08:45,28.8,0.0,0.0,0.0,0.0,3,13.2,212
