city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-14 06:38,2026-05-14 17:29,2026-05-14 10:45,15.4,0.0,0.0,0.0,0.0,0,1.8,66
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-14 04:37,2026-05-14 18:38,2026-05-14 17:45,19.0,0.0,0.0,0.0,0.0,1,7.4,76
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-14 06:25,2026-05-14 20:40,2026-05-14 09:45,16.6,0.0,0.0,0.0,0.0,2,14.4,359
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-14 07:12,2026-05-14 17:20,2026-05-14 18:45,15.9,0.0,0.0,0.0,0.0,1,3.4,43
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-14 05:23,2026-05-14 17:08,2026-05-14 05:45,24.2,0.1,0.1,0.0,0.0,51,12.9,193
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-14 07:39,2026-05-14 18:00,2026-05-14 05:45,9.6,0.0,0.0,0.0,0.0,3,8.6,209
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-14 06:48,2026-05-14 20:03,2026-05-14 04:45,24.6,0.0,0.0,0.0,0.0,0,8.8,208
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-14 05:51,2026-05-14 19:46,2026-05-14 01:45,13.7,0.0,0.0,0.0,0.0,0,5.3,28
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-14 05:24,2026-05-14 20:22,2026-05-14 11:45,13.7,0.0,0.0,0.0,0.0,3,19.3,339
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-14 07:01,2026-05-14 19:17,2026-05-14 16:45,29.9,0.1,0.0,0.1,0.0,51,0.8,243
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-14 04:51,2026-05-14 18:47,2026-05-14 13:15,23.9,0.0,0.0,0.0,0.0,2,8.5,18
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-14 05:46,2026-05-14 18:08,2026-05-14 08:45,28.6,0.0,0.0,0.0,0.0,3,10.8,208
