city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-23 06:42,2026-05-23 17:25,2026-05-23 10:45,15.1,0.0,0.0,0.0,0.0,0,3.6,177
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-23 04:30,2026-05-23 18:45,2026-05-23 17:45,16.9,0.0,0.0,0.0,0.0,2,4.2,59
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-23 06:18,2026-05-23 20:48,2026-05-23 09:45,21.0,0.0,0.0,0.0,0.0,1,6.9,43
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-23 07:19,2026-05-23 17:14,2026-05-23 18:45,13.6,0.0,0.0,0.0,0.0,2,4.9,33
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-23 05:25,2026-05-23 17:07,2026-05-23 05:45,23.6,0.2,0.2,0.0,0.0,53,9.2,178
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-23 07:46,2026-05-23 17:54,2026-05-23 05:45,9.8,0.0,0.0,0.0,0.0,1,1.3,90
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-23 06:45,2026-05-23 20:07,2026-05-23 04:45,23.9,0.0,0.0,0.0,0.0,0,6.6,123
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-23 05:46,2026-05-23 19:53,2026-05-23 01:45,14.8,0.0,0.0,0.0,0.0,3,2.1,211
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-23 05:14,2026-05-23 20:32,2026-05-23 11:45,24.1,0.0,0.0,0.0,0.0,0,8.6,15
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-23 07:01,2026-05-23 19:18,2026-05-23 16:45,29.2,0.1,0.1,0.0,0.0,51,1.2,321
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-23 04:45,2026-05-23 18:54,2026-05-23 13:15,22.3,0.0,0.0,0.0,0.0,1,17.9,323
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-23 05:45,2026-05-23 18:09,2026-05-23 08:45,27.7,0.0,0.0,0.0,0.0,3,4.0,240
