city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-09 06:35,2026-05-09 17:32,2026-05-09 11:00,13.7,0.0,0.0,0.0,0.0,3,9.6,330
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-09 04:41,2026-05-09 18:33,2026-05-09 18:00,19.3,0.0,0.0,0.0,0.0,1,5.6,15
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-09 06:29,2026-05-09 20:36,2026-05-09 10:00,15.7,0.2,0.0,0.2,0.0,80,16.9,209
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-09 07:08,2026-05-09 17:25,2026-05-09 19:00,14.6,0.0,0.0,0.0,0.0,3,7.4,179
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-09 05:22,2026-05-09 17:09,2026-05-09 06:00,24.3,0.1,0.1,0.0,0.0,51,7.4,139
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-09 07:35,2026-05-09 18:04,2026-05-09 06:00,7.2,0.1,0.1,0.0,0.0,51,19.5,265
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-09 06:51,2026-05-09 20:00,2026-05-09 05:00,25.0,0.0,0.0,0.0,0.0,3,5.5,139
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-09 05:55,2026-05-09 19:42,2026-05-09 02:00,15.5,0.0,0.0,0.0,0.0,3,3.1,45
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-09 05:30,2026-05-09 20:16,2026-05-09 12:00,14.6,0.0,0.0,0.0,0.0,3,12.0,131
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-09 07:02,2026-05-09 19:17,2026-05-09 17:00,27.5,0.1,0.1,0.0,0.0,51,6.1,156
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-09 04:55,2026-05-09 18:43,2026-05-09 13:30,28.3,0.0,0.0,0.0,0.0,3,8.2,322
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-09 05:46,2026-05-09 18:07,2026-05-09 09:00,27.7,0.0,0.0,0.0,0.0,3,3.7,203
