city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-19 06:40,2026-05-19 17:27,2026-05-19 11:00,14.4,0.0,0.0,0.0,0.0,2,5.9,317
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-19 04:33,2026-05-19 18:42,2026-05-19 18:00,22.4,0.0,0.0,0.0,0.0,0,9.0,178
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-19 06:20,2026-05-19 20:45,2026-05-19 10:00,18.1,0.0,0.0,0.0,0.0,2,2.2,270
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-19 07:16,2026-05-19 17:16,2026-05-19 19:00,13.0,0.0,0.0,0.0,0.0,1,15.4,246
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-19 05:24,2026-05-19 17:08,2026-05-19 06:00,23.4,0.0,0.0,0.0,0.0,0,9.1,216
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-19 07:43,2026-05-19 17:56,2026-05-19 06:00,6.8,0.0,0.0,0.0,0.0,0,11.3,287
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-19 06:46,2026-05-19 20:05,2026-05-19 05:00,24.2,0.0,0.0,0.0,0.0,0,9.2,90
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-19 05:48,2026-05-19 19:50,2026-05-19 02:00,13.9,0.0,0.0,0.0,0.0,0,6.0,33
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-19 05:18,2026-05-19 20:28,2026-05-19 12:00,20.9,0.0,0.0,0.0,0.0,2,6.3,13
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-19 07:01,2026-05-19 19:17,2026-05-19 17:00,31.2,0.0,0.0,0.0,0.0,3,9.3,288
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-19 04:47,2026-05-19 18:51,2026-05-19 13:30,24.4,0.0,0.0,0.0,0.0,2,8.7,30
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-19 05:45,2026-05-19 18:09,2026-05-19 09:00,28.3,0.0,0.0,0.0,0.0,3,9.9,267
