city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-18 06:40,2026-05-18 17:27,2026-05-18 10:45,16.1,0.0,0.0,0.0,0.0,1,4.1,218
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-18 04:34,2026-05-18 18:41,2026-05-18 17:45,22.9,0.0,0.0,0.0,0.0,0,8.0,185
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-18 06:21,2026-05-18 20:44,2026-05-18 09:45,16.0,0.0,0.0,0.0,0.0,2,12.1,330
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-18 07:15,2026-05-18 17:17,2026-05-18 18:45,14.7,0.0,0.0,0.0,0.0,2,6.4,172
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-18 05:24,2026-05-18 17:08,2026-05-18 05:45,25.0,0.0,0.0,0.0,0.0,0,7.8,157
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-18 07:42,2026-05-18 17:57,2026-05-18 05:45,5.8,0.0,0.0,0.0,0.0,0,10.0,252
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-18 06:46,2026-05-18 20:04,2026-05-18 04:45,25.2,0.0,0.0,0.0,0.0,0,12.7,98
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-18 05:48,2026-05-18 19:49,2026-05-18 01:45,15.2,0.0,0.0,0.0,0.0,3,6.0,115
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-18 05:19,2026-05-18 20:27,2026-05-18 11:45,18.4,0.0,0.0,0.0,0.0,80,7.4,321
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-18 07:01,2026-05-18 19:17,2026-05-18 16:45,31.2,0.0,0.0,0.0,0.0,3,7.7,295
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-18 04:48,2026-05-18 18:50,2026-05-18 13:15,29.3,0.0,0.0,0.0,0.0,0,11.8,206
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-18 05:45,2026-05-18 18:08,2026-05-18 08:45,27.4,0.0,0.0,0.0,0.0,3,11.1,292
