city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-29 06:15,2026-03-29 18:09,2026-03-29,25.0,0.0,0.0,0.0,0.0,3,11.4,187
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-30 06:15,2026-03-30 18:08,2026-03-30,25.5,0.0,0.0,0.0,0.0,3,13.1,176
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-31 06:16,2026-03-31 18:07,2026-03-31,25.7,0.3,0.0,0.3,0.0,51,11.5,21
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-29 05:32,2026-03-29 17:59,2026-03-29,19.0,0.1,0.1,0.0,0.0,51,7.9,100
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-30 05:31,2026-03-30 18:00,2026-03-30,17.1,0.4,0.4,0.0,0.0,51,7.5,203
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-31 05:29,2026-03-31 18:01,2026-03-31,18.2,4.3,4.3,0.0,0.0,55,12.9,185
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-03-29 07:25,2026-03-29 19:56,2026-03-29,20.6,0.0,0.0,0.0,0.0,1,22.4,23
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-03-30 07:24,2026-03-30 19:57,2026-03-30,21.5,0.0,0.0,0.0,0.0,1,19.4,32
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-03-31 07:22,2026-03-31 19:58,2026-03-31,25.3,0.0,0.0,0.0,0.0,0,16.1,14
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-03-29 06:31,2026-03-29 18:19,2026-03-29,20.4,2.2,0.0,2.2,0.0,53,9.4,186
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-03-30 06:32,2026-03-30 18:17,2026-03-30,25.6,0.0,0.0,0.0,0.0,3,12.4,19
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-03-31 06:33,2026-03-31 18:15,2026-03-31,27.8,0.0,0.0,0.0,0.0,3,17.9,17
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-03-29 05:23,2026-03-29 17:25,2026-03-29,30.5,3.7,1.9,1.8,0.0,80,14.3,167
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-03-30 05:22,2026-03-30 17:25,2026-03-30,28.9,11.3,1.7,9.6,0.0,80,16.1,168
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-03-31 05:22,2026-03-31 17:24,2026-03-31,28.6,13.2,3.4,9.8,0.0,80,11.5,138
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-03-29 07:04,2026-03-29 18:52,2026-03-29,26.2,26.8,5.8,21.0,0.0,81,12.5,99
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-03-30 07:04,2026-03-30 18:51,2026-03-30,27.1,0.1,0.1,0.0,0.0,51,13.3,114
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-03-31 07:05,2026-03-31 18:49,2026-03-31,30.4,0.1,0.0,0.1,0.0,51,15.4,38
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-03-29 07:24,2026-03-29 19:43,2026-03-29,27.6,0.0,0.0,0.0,0.0,1,24.1,69
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-03-30 07:23,2026-03-30 19:44,2026-03-30,28.9,0.1,0.1,0.0,0.0,51,22.8,80
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-03-31 07:22,2026-03-31 19:44,2026-03-31,29.1,1.5,0.6,0.9,0.0,53,24.4,81
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-03-29 06:43,2026-03-29 19:11,2026-03-29,30.3,0.0,0.0,0.0,0.0,3,14.2,264
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-03-30 06:42,2026-03-30 19:12,2026-03-30,24.4,0.0,0.0,0.0,0.0,45,13.0,190
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-03-31 06:41,2026-03-31 19:12,2026-03-31,21.0,0.4,0.4,0.0,0.0,51,14.8,145
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-03-29 06:42,2026-03-29 19:21,2026-03-29,16.9,0.4,0.4,0.0,0.0,61,22.6,35
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-03-30 06:40,2026-03-30 19:22,2026-03-30,14.1,14.2,13.7,0.5,0.0,61,19.7,353
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-03-31 06:38,2026-03-31 19:23,2026-03-31,10.5,3.0,3.0,0.0,0.0,61,10.1,184
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-03-29 07:13,2026-03-29 19:22,2026-03-29,32.6,2.5,1.2,1.3,0.0,53,9.6,165
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-03-30 07:13,2026-03-30 19:21,2026-03-30,34.3,2.5,0.5,2.0,0.0,55,10.7,107
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-03-31 07:13,2026-03-31 19:21,2026-03-31,34.2,1.5,0.5,1.0,0.0,95,5.3,90
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-03-29 05:44,2026-03-29 18:11,2026-03-29,13.9,10.8,7.1,3.7,0.0,61,17.0,27
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-03-30 05:43,2026-03-30 18:12,2026-03-30,13.9,7.5,4.8,2.7,0.0,61,15.4,19
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-03-31 05:41,2026-03-31 18:12,2026-03-31,14.0,8.1,0.3,7.8,0.0,63,9.2,343
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-03-29 06:00,2026-03-29 18:10,2026-03-29,27.8,30.9,20.7,10.2,0.0,81,16.3,41
