city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-01 06:31,2026-05-01 17:37,2026-05-01,18.9,7.3,6.6,0.7,0.0,61,19.2,306
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-02 06:31,2026-05-02 17:37,2026-05-02,19.0,0.0,0.0,0.0,0.0,1,8.0,251
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-01 04:49,2026-05-01 18:27,2026-05-01,20.5,56.1,56.1,0.0,0.0,65,14.0,262
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-02 04:48,2026-05-02 18:28,2026-05-02,26.8,0.0,0.0,0.0,0.0,3,9.4,288
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-01 06:38,2026-05-01 20:28,2026-05-01,20.0,0.0,0.0,0.0,0.0,3,13.4,252
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-02 06:37,2026-05-02 20:29,2026-05-02,19.5,1.2,0.0,1.2,0.0,80,15.8,226
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-01 07:01,2026-05-01 17:33,2026-05-01,26.6,0.0,0.0,0.0,0.0,3,18.2,17
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-02 07:01,2026-05-02 17:32,2026-05-02,24.5,1.2,0.0,1.2,0.0,55,19.6,21
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-01 05:22,2026-05-01 17:11,2026-05-01,26.2,35.4,15.7,19.7,0.0,81,13.8,146
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-02 05:22,2026-05-02 17:11,2026-05-02,28.5,9.5,6.2,3.3,0.0,80,15.6,165
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-01 07:29,2026-05-01 18:11,2026-05-01,24.0,0.0,0.0,0.0,0.0,3,19.1,341
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-02 07:30,2026-05-02 18:10,2026-05-02,17.5,0.0,0.0,0.0,0.0,3,19.3,212
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-01 06:56,2026-05-01 19:57,2026-05-01,32.4,0.0,0.0,0.0,0.0,3,14.6,96
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-02 06:55,2026-05-02 19:57,2026-05-02,33.3,0.0,0.0,0.0,0.0,3,21.4,179
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-01 06:03,2026-05-01 19:36,2026-05-01,25.4,0.0,0.0,0.0,0.0,3,17.6,239
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-02 06:02,2026-05-02 19:37,2026-05-02,22.2,0.0,0.0,0.0,0.0,3,15.6,250
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-01 05:42,2026-05-01 20:05,2026-05-01,11.4,0.0,0.0,0.0,0.0,3,13.3,1
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-02 05:41,2026-05-02 20:06,2026-05-02,11.5,0.0,0.0,0.0,0.0,3,10.6,59
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-01 07:03,2026-05-01 19:17,2026-05-01,33.8,11.9,1.0,10.9,0.0,81,13.8,345
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-02 07:03,2026-05-02 19:17,2026-05-02,33.1,7.0,2.5,4.5,0.0,95,7.2,59
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-01 05:03,2026-05-01 18:37,2026-05-01,22.2,0.1,0.0,0.1,0.0,51,12.5,342
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-02 05:02,2026-05-02 18:38,2026-05-02,21.9,0.0,0.0,0.0,0.0,2,12.1,24
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-01 05:48,2026-05-01 18:07,2026-05-01,32.4,0.4,0.1,0.3,0.0,95,17.8,187
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-02 05:48,2026-05-02 18:07,2026-05-02,32.0,1.2,0.4,0.8,0.0,95,16.3,207
