city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-13 06:37,2026-05-13 17:30,2026-05-13 11:00,16.4,0.0,0.0,0.0,0.0,0,16.1,216
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-13 04:37,2026-05-13 18:37,2026-05-13 18:00,20.5,0.0,0.0,0.0,0.0,2,8.1,339
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-13 06:26,2026-05-13 20:39,2026-05-13 10:00,16.2,0.0,0.0,0.0,0.0,2,2.9,173
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-13 07:11,2026-05-13 17:21,2026-05-13 19:00,15.1,0.0,0.0,0.0,0.0,2,5.0,131
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-13 05:23,2026-05-13 17:08,2026-05-13 06:00,24.9,0.3,0.2,0.1,0.0,55,12.7,136
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-13 07:39,2026-05-13 18:00,2026-05-13 06:00,8.8,0.0,0.0,0.0,0.0,0,9.5,180
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-13 06:49,2026-05-13 20:02,2026-05-13 05:00,25.7,0.0,0.0,0.0,0.0,3,7.8,247
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-13 05:52,2026-05-13 19:46,2026-05-13 02:00,15.7,0.0,0.0,0.0,0.0,2,3.9,304
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-13 07:01,2026-05-13 19:17,2026-05-13 17:00,30.0,0.3,0.1,0.2,0.0,55,4.0,234
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-13 04:52,2026-05-13 18:46,2026-05-13 13:30,22.9,0.0,0.0,0.0,0.0,1,10.5,333
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-13 05:46,2026-05-13 18:08,2026-05-13 09:00,30.1,0.1,0.1,0.0,0.0,51,8.4,222
