city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-21 06:26,2026-04-21 17:46,2026-04-21,22.5,2.3,1.3,1.0,0.0,61,18.1,330
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-22 06:26,2026-04-22 17:45,2026-04-22,18.8,2.1,0.0,2.1,0.0,61,13.1,344
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-23 06:27,2026-04-23 17:44,2026-04-23,15.9,8.7,5.6,3.1,0.0,61,18.6,81
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-24 06:27,2026-04-24 17:43,2026-04-24,15.6,16.1,10.5,5.6,0.0,63,20.1,34
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-25 06:28,2026-04-25 17:42,2026-04-25,17.5,1.5,0.5,1.0,0.0,51,12.8,339
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-21 05:01,2026-04-21 18:18,2026-04-21,22.6,0.0,0.0,0.0,0.0,3,8.7,338
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-22 04:59,2026-04-22 18:19,2026-04-22,20.7,0.0,0.0,0.0,0.0,3,11.3,198
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-23 04:58,2026-04-23 18:20,2026-04-23,16.5,18.9,18.9,0.0,0.0,63,9.1,344
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-24 04:57,2026-04-24 18:21,2026-04-24,18.2,4.5,4.5,0.0,0.0,55,7.9,28
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-25 04:56,2026-04-25 18:22,2026-04-25,17.7,0.0,0.0,0.0,0.0,3,6.6,74
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-21 06:51,2026-04-21 20:18,2026-04-21,20.7,0.0,0.0,0.0,0.0,3,22.7,220
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-22 06:50,2026-04-22 20:19,2026-04-22,19.7,0.0,0.0,0.0,0.0,3,12.1,240
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-23 06:48,2026-04-23 20:20,2026-04-23,19.4,0.0,0.0,0.0,0.0,3,16.3,266
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-24 06:47,2026-04-24 20:21,2026-04-24,21.9,0.0,0.0,0.0,0.0,3,15.9,308
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-25 06:46,2026-04-25 20:22,2026-04-25,24.0,0.0,0.0,0.0,0.0,3,18.9,342
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-21 06:52,2026-04-21 17:46,2026-04-21,25.6,0.0,0.0,0.0,0.0,3,13.7,25
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-22 06:52,2026-04-22 17:44,2026-04-22,24.8,0.0,0.0,0.0,0.0,3,14.2,17
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-23 06:53,2026-04-23 17:43,2026-04-23,25.5,0.0,0.0,0.0,0.0,2,9.4,35
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-24 06:54,2026-04-24 17:42,2026-04-24,23.2,0.0,0.0,0.0,0.0,3,17.8,9
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-25 06:55,2026-04-25 17:40,2026-04-25,24.9,0.0,0.0,0.0,0.0,3,18.9,13
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-21 05:21,2026-04-21 17:14,2026-04-21,29.6,3.0,1.1,1.9,0.0,53,15.4,150
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-22 05:21,2026-04-22 17:14,2026-04-22,29.1,1.4,1.0,0.4,0.0,51,13.2,165
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-23 05:21,2026-04-23 17:14,2026-04-23,28.8,12.9,4.8,8.1,0.0,81,17.8,148
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-24 05:21,2026-04-24 17:13,2026-04-24,29.3,5.6,3.9,1.7,0.0,55,17.5,169
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-25 05:21,2026-04-25 17:13,2026-04-25,27.8,5.3,3.1,2.2,0.0,53,13.6,173
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-21 07:21,2026-04-21 18:22,2026-04-21,21.0,14.7,3.0,11.7,0.0,63,18.3,58
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-22 07:22,2026-04-22 18:21,2026-04-22,20.2,0.0,0.0,0.0,0.0,3,16.4,255
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-23 07:23,2026-04-23 18:20,2026-04-23,21.9,0.0,0.0,0.0,0.0,0,10.3,329
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-24 07:24,2026-04-24 18:19,2026-04-24,21.2,0.0,0.0,0.0,0.0,3,9.5,43
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-25 07:25,2026-04-25 18:18,2026-04-25,24.8,0.0,0.0,0.0,0.0,3,11.5,230
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-21 07:03,2026-04-21 19:52,2026-04-21,27.8,3.6,1.1,2.5,0.0,61,25.4,63
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-22 07:02,2026-04-22 19:53,2026-04-22,28.5,0.4,0.4,0.0,0.0,51,23.6,78
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-23 07:01,2026-04-23 19:53,2026-04-23,31.2,3.5,1.2,2.3,0.0,61,20.7,98
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-24 07:01,2026-04-24 19:53,2026-04-24,30.6,3.0,1.2,1.8,0.0,80,14.8,138
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-25 07:00,2026-04-25 19:54,2026-04-25,29.0,1.7,0.7,1.0,0.0,53,13.1,95
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-21 06:14,2026-04-21 19:28,2026-04-21,20.0,0.0,0.0,0.0,0.0,3,15.1,207
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-22 06:12,2026-04-22 19:29,2026-04-22,21.3,0.0,0.0,0.0,0.0,3,18.3,272
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-23 06:11,2026-04-23 19:30,2026-04-23,25.2,0.0,0.0,0.0,0.0,3,17.5,228
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-24 06:10,2026-04-24 19:31,2026-04-24,24.7,0.0,0.0,0.0,0.0,45,16.8,185
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-25 06:09,2026-04-25 19:32,2026-04-25,20.4,0.0,0.0,0.0,0.0,3,21.4,222
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-21 05:59,2026-04-21 19:52,2026-04-21,11.2,7.9,7.9,0.1,0.0,63,21.1,354
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-22 05:57,2026-04-22 19:53,2026-04-22,10.9,0.5,0.0,0.5,0.0,80,14.2,301
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-23 05:55,2026-04-23 19:54,2026-04-23,14.9,0.2,0.0,0.2,0.0,3,26.7,281
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-24 05:53,2026-04-24 19:56,2026-04-24,14.6,0.0,0.0,0.0,0.0,3,22.7,296
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-25 05:52,2026-04-25 19:57,2026-04-25,15.4,0.0,0.0,0.0,0.0,3,14.7,229
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-21 07:05,2026-04-21 19:18,2026-04-21,28.1,2.8,1.4,1.4,0.0,53,4.7,4
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-22 07:05,2026-04-22 19:17,2026-04-22,32.8,0.8,0.5,0.3,0.0,51,6.9,83
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-23 07:05,2026-04-23 19:17,2026-04-23,33.4,0.2,0.2,0.0,0.0,51,7.6,116
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-24 07:05,2026-04-24 19:17,2026-04-24,34.7,6.8,2.2,4.6,0.0,95,7.4,106
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-25 07:04,2026-04-25 19:17,2026-04-25,33.2,8.8,0.7,8.1,0.0,63,8.6,46
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-21 05:14,2026-04-21 18:29,2026-04-21,22.2,0.0,0.0,0.0,0.0,3,8.3,105
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-22 05:13,2026-04-22 18:30,2026-04-22,23.5,5.1,0.1,5.0,0.0,81,10.2,3
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-23 05:11,2026-04-23 18:30,2026-04-23,19.1,1.8,0.0,1.8,0.0,61,11.5,331
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-24 05:10,2026-04-24 18:31,2026-04-24,18.7,0.5,0.5,0.0,0.0,51,8.1,115
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-25 05:09,2026-04-25 18:32,2026-04-25,21.7,0.0,0.0,0.0,0.0,1,13.1,334
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-21 05:51,2026-04-21 18:07,2026-04-21,32.9,10.6,2.0,8.6,0.0,95,15.2,238
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-22 05:51,2026-04-22 18:07,2026-04-22,31.8,0.6,0.1,0.5,0.0,95,13.2,225
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-23 05:50,2026-04-23 18:07,2026-04-23,33.3,1.3,0.5,0.8,0.0,95,20.5,231
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-24 05:50,2026-04-24 18:07,2026-04-24,32.2,4.3,1.0,3.3,0.0,55,22.0,227
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-25 05:50,2026-04-25 18:07,2026-04-25,32.9,5.0,0.2,4.8,0.0,95,18.1,235
