city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_relative_humidity_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-07 06:34,2026-05-07 17:33,2026-05-07 11:00,10.3,65,0.0,0.0,0.0,0.0,2,64,17.1,226
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-07 04:43,2026-05-07 18:32,2026-05-07 18:00,20.7,91,0.0,0.0,0.0,0.0,2,72,7.6,183
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-07 06:32,2026-05-07 20:34,2026-05-07 10:00,16.5,58,0.0,0.0,0.0,0.0,2,54,11.7,342
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-07 07:06,2026-05-07 17:27,2026-05-07 19:00,11.6,66,0.0,0.0,0.0,0.0,3,100,14.6,265
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-07 05:22,2026-05-07 17:09,2026-05-07 06:00,24.3,91,0.2,0.2,0.0,0.0,53,100,10.7,155
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-07 07:34,2026-05-07 18:05,2026-05-07 06:00,18.3,94,0.0,0.0,0.0,0.0,3,100,18.7,236
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-07 06:52,2026-05-07 19:59,2026-05-07 05:00,24.3,92,0.0,0.0,0.0,0.0,0,8,8.0,140
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-07 05:57,2026-05-07 19:41,2026-05-07 02:00,12.9,92,0.0,0.0,0.0,0.0,0,4,3.6,315
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-07 05:33,2026-05-07 20:13,2026-05-07 12:00,15.1,69,0.0,0.0,0.0,0.0,1,0,13.9,163
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-07 07:02,2026-05-07 19:17,2026-05-07 17:00,26.2,87,2.9,0.1,2.8,0.0,81,94,4.1,29
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-07 04:57,2026-05-07 18:42,2026-05-07 13:30,25.8,23,0.0,0.0,0.0,0.0,0,0,8.6,331
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-07 05:47,2026-05-07 18:07,2026-05-07 09:00,29.3,71,0.0,0.0,0.0,0.0,3,100,9.4,265
