city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-03 06:32,2026-05-03 17:36,2026-05-03,20.8,0.0,0.0,0.0,0.0,0,9.0,326
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-04 06:32,2026-05-04 17:35,2026-05-04,20.3,1.8,0.0,1.8,0.0,55,15.0,325
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-05 06:33,2026-05-05 17:35,2026-05-05,16.6,19.7,13.1,6.6,0.0,63,24.3,325
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-03 04:47,2026-05-03 18:28,2026-05-03,23.2,1.6,1.6,0.0,0.0,53,14.1,208
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-04 04:46,2026-05-04 18:29,2026-05-04,26.7,1.1,1.1,0.0,0.0,51,14.4,210
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-05 04:45,2026-05-05 18:30,2026-05-05,21.6,0.0,0.0,0.0,0.0,2,13.2,326
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-03 06:36,2026-05-03 20:30,2026-05-03,18.6,0.4,0.0,0.4,0.0,3,13.2,270
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-04 06:35,2026-05-04 20:31,2026-05-04,19.1,0.2,0.0,0.2,0.0,3,18.6,321
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-05 06:34,2026-05-05 20:32,2026-05-05,19.1,0.0,0.0,0.0,0.0,3,18.5,331
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-03 07:02,2026-05-03 17:31,2026-05-03,21.1,11.6,2.4,9.2,0.0,63,26.7,9
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-04 07:03,2026-05-04 17:30,2026-05-04,19.0,2.9,0.0,2.9,0.0,63,29.9,349
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-05 07:04,2026-05-05 17:29,2026-05-05,17.4,0.0,0.0,0.0,0.0,3,14.7,270
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-03 05:22,2026-05-03 17:10,2026-05-03,28.8,1.1,0.1,1.0,0.0,53,13.8,160
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-04 05:22,2026-05-04 17:10,2026-05-04,28.7,8.8,4.5,4.3,0.0,63,21.2,172
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-05 05:22,2026-05-05 17:10,2026-05-05,28.6,11.4,7.2,4.2,0.0,61,19.7,173
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-03 07:31,2026-05-03 18:09,2026-05-03,17.0,0.0,0.0,0.0,0.0,3,16.4,349
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-04 07:32,2026-05-04 18:08,2026-05-04,21.4,0.0,0.0,0.0,0.0,3,16.2,338
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-05 07:32,2026-05-05 18:07,2026-05-05,22.4,3.7,0.0,3.7,0.0,80,15.2,49
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-03 06:54,2026-05-03 19:57,2026-05-03,32.1,8.3,1.2,7.1,0.0,63,13.3,207
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-04 06:54,2026-05-04 19:58,2026-05-04,29.8,1.5,0.4,1.1,0.0,53,8.3,107
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-05 06:53,2026-05-05 19:58,2026-05-05,30.0,1.9,0.2,1.7,0.0,53,9.6,323
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-03 06:01,2026-05-03 19:38,2026-05-03,19.9,0.0,0.0,0.0,0.0,3,15.2,255
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-04 06:00,2026-05-04 19:39,2026-05-04,20.4,0.0,0.0,0.0,0.0,3,20.5,253
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-05 05:59,2026-05-05 19:39,2026-05-05,20.6,0.0,0.0,0.0,0.0,3,18.5,266
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-03 05:39,2026-05-03 20:08,2026-05-03,14.1,0.0,0.0,0.0,0.0,3,9.7,28
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-04 05:38,2026-05-04 20:09,2026-05-04,18.4,0.0,0.0,0.0,0.0,3,11.8,32
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-05 05:36,2026-05-05 20:10,2026-05-05,17.7,0.0,0.0,0.0,0.0,1,12.6,190
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-03 07:03,2026-05-03 19:17,2026-05-03,31.3,15.9,2.3,13.6,0.0,81,13.5,350
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-04 07:02,2026-05-04 19:17,2026-05-04,31.1,6.7,1.5,5.2,0.0,81,10.8,305
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-05 07:02,2026-05-05 19:17,2026-05-05,33.0,3.3,1.3,2.0,0.0,80,8.4,326
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-03 05:01,2026-05-03 18:38,2026-05-03,20.0,0.0,0.0,0.0,0.0,3,16.6,357
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-04 05:00,2026-05-04 18:39,2026-05-04,20.5,0.0,0.0,0.0,0.0,0,14.1,346
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-05 04:59,2026-05-05 18:40,2026-05-05,22.0,0.0,0.0,0.0,0.0,0,11.2,35
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-03 05:47,2026-05-03 18:07,2026-05-03,32.0,1.6,0.3,1.3,0.0,55,16.6,212
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-04 05:47,2026-05-04 18:07,2026-05-04,32.7,2.4,0.1,2.3,0.0,80,12.8,186
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-05 05:47,2026-05-05 18:07,2026-05-05,32.8,0.8,0.0,0.8,0.0,95,18.0,208
