city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-16 06:39,2026-05-16 17:28,2026-05-16 10:45,17.0,0.0,0.0,0.0,0.0,0,7.3,115
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-16 04:35,2026-05-16 18:39,2026-05-16 17:45,22.5,0.0,0.0,0.0,0.0,0,5.3,152
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-16 06:23,2026-05-16 20:42,2026-05-16 09:45,16.6,0.0,0.0,0.0,0.0,1,15.5,360
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-16 07:14,2026-05-16 17:19,2026-05-16 18:45,18.1,0.0,0.0,0.0,0.0,2,12.0,35
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-16 05:23,2026-05-16 17:08,2026-05-16 05:45,23.6,0.5,0.3,0.2,0.0,61,8.8,185
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-16 07:41,2026-05-16 17:58,2026-05-16 05:45,11.0,0.0,0.0,0.0,0.0,3,7.0,310
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-16 06:47,2026-05-16 20:03,2026-05-16 04:45,23.6,0.0,0.0,0.0,0.0,0,4.7,140
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-16 05:50,2026-05-16 19:48,2026-05-16 01:45,16.0,0.0,0.0,0.0,0.0,3,0.5,225
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-16 05:21,2026-05-16 20:24,2026-05-16 11:45,16.6,0.0,0.0,0.0,0.0,0,11.8,160
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-16 07:01,2026-05-16 19:17,2026-05-16 16:45,27.6,0.4,0.1,0.3,0.0,80,13.1,297
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-16 04:49,2026-05-16 18:49,2026-05-16 13:15,23.3,0.0,0.0,0.0,0.0,2,9.7,331
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-16 05:45,2026-05-16 18:08,2026-05-16 08:45,27.6,0.0,0.0,0.0,0.0,2,6.8,259
