city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-20 06:41,2026-05-20 17:26,2026-05-20 10:45,14.3,0.0,0.0,0.0,0.0,0,7.3,57
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-20 04:32,2026-05-20 18:42,2026-05-20 17:45,23.9,0.0,0.0,0.0,0.0,3,6.5,177
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-20 06:20,2026-05-20 20:45,2026-05-20 09:45,18.4,0.0,0.0,0.0,0.0,1,7.1,49
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-20 07:17,2026-05-20 17:15,2026-05-20 18:45,13.1,0.0,0.0,0.0,0.0,2,8.0,220
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-20 05:24,2026-05-20 17:07,2026-05-20 05:45,24.4,0.0,0.0,0.0,0.0,2,8.4,165
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-20 07:44,2026-05-20 17:56,2026-05-20 05:45,8.0,0.0,0.0,0.0,0.0,0,10.2,214
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-20 06:46,2026-05-20 20:05,2026-05-20 04:45,23.3,0.0,0.0,0.0,0.0,0,8.0,98
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-20 05:47,2026-05-20 19:51,2026-05-20 01:45,17.9,0.0,0.0,0.0,0.0,0,6.8,93
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-20 05:17,2026-05-20 20:29,2026-05-20 11:45,21.9,0.0,0.0,0.0,0.0,3,11.2,345
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-20 07:01,2026-05-20 19:17,2026-05-20 16:45,30.8,0.1,0.0,0.1,0.0,51,6.9,307
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-20 04:47,2026-05-20 18:52,2026-05-20 13:15,25.2,0.0,0.0,0.0,0.0,2,12.0,71
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-20 05:45,2026-05-20 18:09,2026-05-20 08:45,27.0,0.1,0.1,0.0,0.0,51,5.9,270
