city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-21 06:41,2026-05-21 17:26,2026-05-21 10:45,13.8,0.0,0.0,0.0,0.0,3,9.0,359
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-21 04:32,2026-05-21 18:43,2026-05-21 17:45,16.1,0.0,0.0,0.0,0.0,3,3.6,37
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-21 06:19,2026-05-21 20:46,2026-05-21 09:45,21.5,0.0,0.0,0.0,0.0,0,3.3,41
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-21 07:18,2026-05-21 17:15,2026-05-21 18:45,11.9,0.0,0.0,0.0,0.0,0,4.0,153
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-21 06:45,2026-05-21 20:06,2026-05-21 04:45,24.1,0.0,0.0,0.0,0.0,0,10.8,105
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-21 05:47,2026-05-21 19:51,2026-05-21 01:45,16.3,0.0,0.0,0.0,0.0,0,5.8,150
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-21 05:16,2026-05-21 20:30,2026-05-21 11:45,19.2,0.1,0.0,0.1,0.0,95,10.1,63
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-21 07:01,2026-05-21 19:18,2026-05-21 16:45,31.8,0.0,0.0,0.0,0.0,3,8.9,279
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-21 04:46,2026-05-21 18:52,2026-05-21 13:15,20.4,0.3,0.0,0.3,0.0,55,4.3,17
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-21 05:45,2026-05-21 18:09,2026-05-21 08:45,27.2,0.0,0.0,0.0,0.0,3,7.2,245
