city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-08 06:34,2026-05-08 17:33,2026-05-08 11:00,10.3,0.0,0.0,0.0,0.0,0,6.1,238
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-08 04:42,2026-05-08 18:33,2026-05-08 18:00,22.1,0.0,0.0,0.0,0.0,1,10.8,206
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-08 06:30,2026-05-08 20:35,2026-05-08 10:00,14.8,0.0,0.0,0.0,0.0,2,13.4,174
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-08 07:07,2026-05-08 17:26,2026-05-08 19:00,13.9,0.2,0.0,0.2,0.0,53,11.9,222
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-08 05:22,2026-05-08 17:09,2026-05-08 06:00,23.6,0.3,0.3,0.0,0.0,55,6.7,156
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-08 07:35,2026-05-08 18:05,2026-05-08 06:00,9.9,0.0,0.0,0.0,0.0,3,22.2,257
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-08 06:51,2026-05-08 20:00,2026-05-08 05:00,24.5,0.0,0.0,0.0,0.0,1,2.4,343
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-08 05:56,2026-05-08 19:42,2026-05-08 02:00,14.7,0.0,0.0,0.0,0.0,2,3.4,108
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-08 05:32,2026-05-08 20:14,2026-05-08 12:00,14.6,0.0,0.0,0.0,0.0,3,15.6,165
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-08 07:02,2026-05-08 19:17,2026-05-08 17:00,27.5,0.0,0.0,0.0,0.0,3,6.2,52
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-08 04:56,2026-05-08 18:42,2026-05-08 13:30,26.0,0.0,0.0,0.0,0.0,0,9.0,357
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-08 05:46,2026-05-08 18:07,2026-05-08 09:00,29.5,0.0,0.0,0.0,0.0,3,7.9,231
