city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-11 06:36,2026-05-11 17:31,2026-05-11 10:45,11.8,0.0,0.0,0.0,0.0,0,13.6,220
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-11 04:39,2026-05-11 18:35,2026-05-11 17:45,19.7,0.0,0.0,0.0,0.0,0,9.4,180
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-11 06:27,2026-05-11 20:37,2026-05-11 09:45,16.4,0.1,0.0,0.1,0.0,2,15.6,218
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-11 07:09,2026-05-11 17:23,2026-05-11 19:00,14.1,0.0,0.0,0.0,0.0,0,4.6,234
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-11 05:23,2026-05-11 17:09,2026-05-11 06:00,24.5,0.0,0.0,0.0,0.0,3,11.1,222
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-11 07:37,2026-05-11 18:02,2026-05-11 06:00,6.0,0.0,0.0,0.0,0.0,0,8.3,243
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-11 06:50,2026-05-11 20:01,2026-05-11 05:00,24.9,0.0,0.0,0.0,0.0,3,6.8,90
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-11 05:54,2026-05-11 19:44,2026-05-11 02:00,14.5,0.0,0.0,0.0,0.0,45,4.4,305
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-11 05:28,2026-05-11 20:18,2026-05-11 12:00,17.7,0.0,0.0,0.0,0.0,1,7.4,309
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-11 07:02,2026-05-11 19:17,2026-05-11 17:00,28.4,0.2,0.1,0.1,0.0,53,6.0,287
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-11 04:53,2026-05-11 18:45,2026-05-11 13:30,25.0,0.0,0.0,0.0,0.0,1,4.9,336
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-11 05:46,2026-05-11 18:08,2026-05-11 09:00,29.6,0.1,0.0,0.1,0.0,51,14.5,210
