city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-26 06:44,2026-05-26 17:24,2026-05-26 11:15,17.8,0.0,0.0,0.0,0.0,0,7.1,236
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-26 04:29,2026-05-26 18:47,2026-05-26 18:15,22.9,0.0,0.0,0.0,0.0,2,5.6,130
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-26 06:16,2026-05-26 20:50,2026-05-26 10:15,23.0,0.0,0.0,0.0,0.0,3,5.4,70
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-26 07:22,2026-05-26 17:12,2026-05-26 19:15,15.4,0.0,0.0,0.0,0.0,3,13.7,147
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-26 05:25,2026-05-26 17:07,2026-05-26 06:15,24.1,0.8,0.3,0.5,0.0,63,9.0,168
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-26 07:48,2026-05-26 17:53,2026-05-26 06:15,8.6,0.0,0.0,0.0,0.0,0,5.4,182
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-26 06:44,2026-05-26 20:08,2026-05-26 05:15,24.2,0.0,0.0,0.0,0.0,0,9.7,105
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-26 05:44,2026-05-26 19:55,2026-05-26 02:15,13.4,0.0,0.0,0.0,0.0,0,5.6,105
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-26 05:12,2026-05-26 20:35,2026-05-26 12:15,23.8,0.0,0.0,0.0,0.0,0,17.4,308
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-26 07:01,2026-05-26 19:18,2026-05-26 17:15,28.1,0.3,0.3,0.0,0.0,55,6.8,328
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-26 04:43,2026-05-26 18:56,2026-05-26 13:45,24.4,0.0,0.0,0.0,0.0,1,13.7,342
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-26 05:45,2026-05-26 18:10,2026-05-26 09:15,26.9,0.0,0.0,0.0,0.0,2,5.2,65
