city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-08 06:05,2026-03-08 18:31,2026-03-08,20.3,0.0,0.0,0.0,0.0,3.0,24.8,108.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-09 06:05,2026-03-09 18:30,2026-03-09,21.8,0.0,0.0,0.0,0.0,3.0,14.1,117.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-10 06:06,2026-03-10 18:29,2026-03-10,22.9,0.0,0.0,0.0,0.0,0.0,11.2,123.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-11 06:06,2026-03-11 18:28,2026-03-11,23.8,0.0,0.0,0.0,0.0,2.0,12.7,110.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-12 06:07,2026-03-12 18:27,2026-03-12,16.9,6.3,6.3,0.0,0.0,61.0,10.7,116.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-13 06:07,2026-03-13 18:26,2026-03-13,21.2,0.0,0.0,0.0,0.0,3.0,10.0,105.0
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-03-14 06:08,2026-03-14 18:25,2026-03-14,20.8,4.5,1.0,3.5,0.0,61.0,8.9,80.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-08 06:02,2026-03-08 17:41,2026-03-08,10.6,0.6,0.1,0.5,0.07,71.0,19.5,337.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-09 06:00,2026-03-09 17:42,2026-03-09,11.6,0.0,0.0,0.0,0.0,3.0,11.4,360.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-10 05:59,2026-03-10 17:43,2026-03-10,8.2,4.0,0.6,2.9,0.63,73.0,13.7,351.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-11 05:58,2026-03-11 17:44,2026-03-11,10.1,0.0,0.0,0.0,0.0,3.0,10.1,34.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-12 05:56,2026-03-12 17:45,2026-03-12,11.2,0.0,0.0,0.0,0.0,3.0,11.6,1.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-13 05:55,2026-03-13 17:46,2026-03-13,9.5,0.0,0.0,0.0,0.0,3.0,8.5,3.0
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-03-14 05:53,2026-03-14 17:47,2026-03-14,13.8,0.0,0.0,0.0,0.0,3.0,8.8,3.0
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-03-08 07:58,2026-03-08 19:36,2026-03-08,16.0,0.4,0.0,0.4,0.0,51.0,17.3,334.0
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-03-09 07:56,2026-03-09 19:37,2026-03-09,12.6,0.7,0.4,0.3,0.0,51.0,21.8,311.0
