city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-26 06:28,2026-04-26 17:41,2026-04-26,19.5,0.0,0.0,0.0,0.0,3,9.2,291
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-27 06:29,2026-04-27 17:40,2026-04-27,21.4,0.5,0.4,0.1,0.0,51,15.3,265
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-28 06:29,2026-04-28 17:40,2026-04-28,19.5,0.0,0.0,0.0,0.0,3,11.8,213
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-29 06:30,2026-04-29 17:39,2026-04-29,20.1,0.0,0.0,0.0,0.0,3,13.9,352
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-30 06:30,2026-04-30 17:38,2026-04-30,18.0,0.1,0.1,0.0,0.0,51,22.6,353
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-26 04:55,2026-04-26 18:23,2026-04-26,20.3,0.0,0.0,0.0,0.0,3,7.3,121
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-27 04:53,2026-04-27 18:23,2026-04-27,18.2,33.4,33.4,0.0,0.0,63,11.2,344
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-28 04:52,2026-04-28 18:24,2026-04-28,23.2,0.0,0.0,0.0,0.0,3,11.9,197
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-29 04:51,2026-04-29 18:25,2026-04-29,17.3,1.0,1.0,0.0,0.0,51,5.5,25
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-30 04:50,2026-04-30 18:26,2026-04-30,15.1,0.2,0.2,0.0,0.0,51,4.3,31
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-26 06:44,2026-04-26 20:23,2026-04-26,26.6,0.1,0.0,0.1,0.0,3,20.3,355
