city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-04 06:18,2026-04-04 18:02,2026-04-04,26.0,0.0,0.0,0.0,0.0,0,12.4,222
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-05 06:18,2026-04-05 18:01,2026-04-05,27.0,0.0,0.0,0.0,0.0,3,13.3,244
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-06 06:19,2026-04-06 18:00,2026-04-06,24.6,0.1,0.0,0.1,0.0,51,13.4,200
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-04 05:23,2026-04-04 18:04,2026-04-04,16.0,13.4,13.4,0.0,0.0,63,13.8,174
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-05 05:22,2026-04-05 18:05,2026-04-05,23.3,10.1,10.1,0.0,0.0,63,9.0,206
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-06 05:21,2026-04-06 18:06,2026-04-06,21.9,0.0,0.0,0.0,0.0,3,7.9,183
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-04 07:16,2026-04-04 20:02,2026-04-04,25.2,0.0,0.0,0.0,0.0,1,11.4,323
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-05 07:14,2026-04-05 20:03,2026-04-05,26.3,0.0,0.0,0.0,0.0,1,10.8,204
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-06 07:13,2026-04-06 20:04,2026-04-06,23.6,7.5,6.0,1.4,0.0,80,25.8,155
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-04 06:36,2026-04-04 18:09,2026-04-04,19.0,0.0,0.0,0.0,0.0,3,14.7,153
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-05 06:37,2026-04-05 18:08,2026-04-05,25.3,0.0,0.0,0.0,0.0,3,11.7,56
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-06 06:38,2026-04-06 18:06,2026-04-06,22.1,14.4,10.6,3.8,0.0,63,15.1,17
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-04 05:22,2026-04-04 17:22,2026-04-04,28.9,5.8,1.5,4.3,0.0,80,17.4,112
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-05 05:22,2026-04-05 17:22,2026-04-05,27.9,10.2,4.0,6.2,0.0,80,12.9,148
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-06 05:22,2026-04-06 17:21,2026-04-06,30.1,17.1,3.0,14.1,0.0,81,16.3,144
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-04 07:08,2026-04-04 18:44,2026-04-04,19.5,5.2,3.9,1.3,0.0,63,22.9,165
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-05 07:09,2026-04-05 18:42,2026-04-05,19.1,0.1,0.0,0.1,0.0,51,16.4,123
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-06 07:10,2026-04-06 18:41,2026-04-06,19.6,21.8,9.7,12.1,0.0,63,22.5,92
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-04 07:18,2026-04-04 19:46,2026-04-04,28.8,0.8,0.3,0.5,0.0,51,23.6,78
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-05 07:17,2026-04-05 19:46,2026-04-05,28.9,1.6,0.6,1.0,0.0,55,18.3,75
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-06 07:16,2026-04-06 19:46,2026-04-06,28.1,0.0,0.0,0.0,0.0,3,13.1,54
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-04 06:35,2026-04-04 19:15,2026-04-04,32.3,0.0,0.0,0.0,0.0,3,22.8,281
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-05 06:34,2026-04-05 19:16,2026-04-05,30.0,0.0,0.0,0.0,0.0,3,18.9,275
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-06 06:32,2026-04-06 19:17,2026-04-06,26.2,0.0,0.0,0.0,0.0,3,20.0,247
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-04 06:30,2026-04-04 19:29,2026-04-04,17.4,0.9,0.2,0.7,0.0,61,16.8,329
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-05 06:28,2026-04-05 19:30,2026-04-05,17.6,0.0,0.0,0.0,0.0,2,16.9,313
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-06 06:26,2026-04-06 19:32,2026-04-06,19.9,0.3,0.0,0.3,0.0,3,26.1,252
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-04 07:11,2026-04-04 19:20,2026-04-04,33.6,3.5,1.1,2.4,0.0,53,13.0,299
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-05 07:11,2026-04-05 19:20,2026-04-05,33.4,2.2,1.6,0.6,0.0,95,9.8,27
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-06 07:10,2026-04-06 19:20,2026-04-06,32.5,7.7,1.7,6.0,0.0,81,10.6,133
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-04 05:36,2026-04-04 18:16,2026-04-04,10.9,7.3,6.7,0.6,0.0,61,14.9,37
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-05 05:34,2026-04-05 18:16,2026-04-05,14.2,0.3,0.1,0.2,0.0,51,9.2,91
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-04-06 05:33,2026-04-06 18:17,2026-04-06,15.2,4.5,2.1,2.4,0.0,55,22.3,89
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-04 05:58,2026-04-04 18:09,2026-04-04,30.4,0.3,0.0,0.3,0.0,95,10.1,216
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-04-05 05:57,2026-04-05 18:09,2026-04-05,31.2,0.0,0.0,0.0,0.0,95,13.5,219
