city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-07 06:19,2026-04-07 17:59,2026-04-07,22.6,8.2,1.3,6.9,0.0,63,13.7,83
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-08 06:19,2026-04-08 17:58,2026-04-08,20.4,0.7,0.3,0.4,0.0,51,11.2,33
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-09 06:20,2026-04-09 17:57,2026-04-09,22.9,0.0,0.0,0.0,0.0,3,8.8,323
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-10 06:20,2026-04-10 17:56,2026-04-10,23.9,0.0,0.0,0.0,0.0,3,9.5,196
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-07 05:19,2026-04-07 18:07,2026-04-07,18.5,0.6,0.6,0.0,0.0,53,15.0,257
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-08 05:18,2026-04-08 18:08,2026-04-08,16.8,0.0,0.0,0.0,0.0,0,12.9,330
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-09 05:16,2026-04-09 18:08,2026-04-09,19.1,0.0,0.0,0.0,0.0,3,12.6,191
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-10 05:15,2026-04-10 18:09,2026-04-10,18.8,5.8,5.8,0.0,0.0,61,11.9,191
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-07 07:11,2026-04-07 20:05,2026-04-07,16.6,7.7,2.6,5.1,0.0,95,21.1,205
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-08 07:10,2026-04-08 20:06,2026-04-08,16.4,2.8,0.0,2.7,0.0,80,15.0,120
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-09 07:08,2026-04-09 20:07,2026-04-09,21.8,0.0,0.0,0.0,0.0,3,17.8,19
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-10 07:07,2026-04-10 20:08,2026-04-10,22.3,0.1,0.0,0.1,0.0,2,13.8,249
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-07 06:39,2026-04-07 18:05,2026-04-07,19.5,2.9,1.7,1.2,0.0,51,20.3,243
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-08 06:40,2026-04-08 18:04,2026-04-08,18.8,1.5,0.1,1.4,0.0,61,12.5,318
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-09 06:41,2026-04-09 18:02,2026-04-09,23.6,2.5,0.6,1.9,0.0,53,27.6,356
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-10 06:42,2026-04-10 18:01,2026-04-10,18.9,4.2,0.4,3.8,0.0,53,22.0,301
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-07 05:22,2026-04-07 17:21,2026-04-07,28.4,28.1,12.4,15.7,0.0,81,14.1,131
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-08 05:22,2026-04-08 17:20,2026-04-08,27.2,10.2,4.6,5.6,0.0,81,12.1,136
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-09 05:22,2026-04-09 17:20,2026-04-09,29.6,0.2,0.1,0.1,0.0,51,13.7,171
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-10 05:22,2026-04-10 17:19,2026-04-10,29.4,0.6,0.2,0.4,0.0,51,12.1,148
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-07 07:11,2026-04-07 18:40,2026-04-07,20.1,9.6,6.5,3.1,0.0,61,24.8,188
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-08 07:11,2026-04-08 18:38,2026-04-08,21.2,1.8,0.6,1.2,0.0,53,22.8,204
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-09 07:12,2026-04-09 18:37,2026-04-09,20.8,0.0,0.0,0.0,0.0,3,10.7,206
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-10 07:13,2026-04-10 18:36,2026-04-10,22.2,0.0,0.0,0.0,0.0,0,8.9,12
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-07 07:15,2026-04-07 19:47,2026-04-07,29.4,5.3,0.8,4.5,0.0,63,14.0,239
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-08 07:14,2026-04-08 19:47,2026-04-08,28.4,9.2,1.2,8.0,0.0,81,13.0,224
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-09 07:13,2026-04-09 19:47,2026-04-09,27.8,0.3,0.1,0.2,0.0,51,16.7,40
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-10 07:13,2026-04-10 19:48,2026-04-10,27.9,0.7,0.1,0.6,0.0,53,25.1,64
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-07 06:31,2026-04-07 19:18,2026-04-07,26.1,0.0,0.0,0.0,0.0,2,15.8,254
