city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-22 06:42,2026-05-22 17:25,2026-05-22 10:45,13.9,0.0,0.0,0.0,0.0,2,9.3,328
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-22 04:31,2026-05-22 18:44,2026-05-22 17:45,14.1,0.0,0.0,0.0,0.0,2,7.3,33
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-22 06:18,2026-05-22 20:47,2026-05-22 09:45,23.6,0.0,0.0,0.0,0.0,1,4.6,45
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-22 07:19,2026-05-22 17:14,2026-05-22 18:45,12.1,0.0,0.0,0.0,0.0,3,1.9,41
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-22 05:24,2026-05-22 17:07,2026-05-22 05:45,23.5,0.0,0.0,0.0,0.0,1,14.0,193
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-22 07:45,2026-05-22 17:55,2026-05-22 05:45,5.9,0.0,0.0,0.0,0.0,3,6.3,187
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-22 06:45,2026-05-22 20:06,2026-05-22 04:45,24.2,0.0,0.0,0.0,0.0,3,7.9,131
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-22 05:46,2026-05-22 19:52,2026-05-22 01:45,15.1,0.0,0.0,0.0,0.0,1,2.8,220
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-22 05:15,2026-05-22 20:31,2026-05-22 11:45,22.3,0.0,0.0,0.0,0.0,0,5.8,83
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-22 07:01,2026-05-22 19:18,2026-05-22 16:45,34.0,0.0,0.0,0.0,0.0,3,3.7,194
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-22 04:45,2026-05-22 18:53,2026-05-22 13:15,21.1,0.0,0.0,0.0,0.0,1,13.7,341
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-22 05:45,2026-05-22 18:09,2026-05-22 08:45,27.7,0.0,0.0,0.0,0.0,3,6.6,261
