city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-25 06:43,2026-05-25 17:24,2026-05-25 10:45,16.6,0.0,0.0,0.0,0.0,0,4.0,153
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-25 04:29,2026-05-25 18:46,2026-05-25 17:45,23.0,0.0,0.0,0.0,0.0,0,5.6,135
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-25 06:16,2026-05-25 20:50,2026-05-25 09:45,20.5,0.0,0.0,0.0,0.0,3,3.4,72
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-25 07:21,2026-05-25 17:12,2026-05-25 18:45,14.8,0.0,0.0,0.0,0.0,3,4.7,137
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-25 05:25,2026-05-25 17:07,2026-05-25 05:45,22.8,0.1,0.0,0.1,0.0,51,8.9,230
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-25 06:44,2026-05-25 20:08,2026-05-25 04:45,24.8,0.0,0.0,0.0,0.0,1,10.3,101
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-25 05:45,2026-05-25 19:54,2026-05-25 01:45,13.6,0.0,0.0,0.0,0.0,0,6.5,96
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-25 05:12,2026-05-25 20:34,2026-05-25 11:45,24.6,0.0,0.0,0.0,0.0,3,12.7,335
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-25 07:01,2026-05-25 19:18,2026-05-25 16:45,28.2,0.0,0.0,0.0,0.0,3,4.2,54
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-25 04:44,2026-05-25 18:55,2026-05-25 13:15,22.2,0.0,0.0,0.0,0.0,0,11.5,333
