city,country,latitude,longitude,timezone,utc_offset,sunrise,sunset,time,temperature_2m_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,weather_code,wind_speed_10m_max,wind_direction_10m_dominant
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-11 06:21,2026-04-11 17:55,2026-04-11,24.9,0.0,0.0,0.0,0.0,3,7.9,217
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-12 06:21,2026-04-12 17:54,2026-04-12,22.6,5.1,0.8,4.3,0.0,61,19.2,288
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-13 06:22,2026-04-13 17:53,2026-04-13,18.7,14.4,13.5,0.9,0.0,61,11.1,21
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-14 06:22,2026-04-14 17:52,2026-04-14,19.2,8.5,6.3,2.2,0.0,63,16.6,356
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-04-15 06:23,2026-04-15 17:51,2026-04-15,19.3,7.0,3.4,3.6,0.0,61,11.8,316
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-11 05:14,2026-04-11 18:10,2026-04-11,25.1,0.0,0.0,0.0,0.0,3,9.6,3
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-12 05:12,2026-04-12 18:11,2026-04-12,21.3,0.0,0.0,0.0,0.0,3,8.7,246
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-13 05:11,2026-04-13 18:12,2026-04-13,22.0,0.0,0.0,0.0,0.0,2,8.3,178
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-14 05:10,2026-04-14 18:13,2026-04-14,21.9,0.0,0.0,0.0,0.0,3,7.7,102
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-04-15 05:08,2026-04-15 18:13,2026-04-15,19.0,16.7,16.7,0.0,0.0,63,7.1,12
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-11 07:05,2026-04-11 20:09,2026-04-11,16.7,0.0,0.0,0.0,0.0,3,29.1,352
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-12 07:04,2026-04-12 20:10,2026-04-12,15.5,0.0,0.0,0.0,0.0,2,27.3,348
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-13 07:02,2026-04-13 20:11,2026-04-13,16.1,0.1,0.0,0.1,0.0,3,14.0,312
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-14 07:01,2026-04-14 20:12,2026-04-14,19.1,0.0,0.0,0.0,0.0,3,12.4,310
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-04-15 07:00,2026-04-15 20:13,2026-04-15,19.6,0.0,0.0,0.0,0.0,3,13.9,336
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-11 06:42,2026-04-11 17:59,2026-04-11,15.8,0.6,0.1,0.5,0.0,51,26.6,296
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-12 06:43,2026-04-12 17:58,2026-04-12,15.8,0.2,0.1,0.1,0.0,51,24.4,264
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-13 06:44,2026-04-13 17:56,2026-04-13,19.1,0.9,0.2,0.7,0.0,51,20.5,254
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-14 06:45,2026-04-14 17:55,2026-04-14,19.9,0.0,0.0,0.0,0.0,3,12.1,280
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-04-15 06:46,2026-04-15 17:54,2026-04-15,22.1,0.9,0.0,0.9,0.0,53,11.5,303
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-11 05:22,2026-04-11 17:19,2026-04-11,30.5,2.2,1.5,0.7,0.0,53,15.7,136
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-12 05:22,2026-04-12 17:18,2026-04-12,27.6,14.6,8.5,6.1,0.0,81,15.7,140
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-13 05:22,2026-04-13 17:18,2026-04-13,28.8,3.4,2.2,1.2,0.0,61,12.5,147
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-14 05:21,2026-04-14 17:17,2026-04-14,28.2,6.2,4.9,1.3,0.0,53,14.8,142
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-04-15 05:21,2026-04-15 17:17,2026-04-15,29.8,0.8,0.7,0.1,0.0,51,13.6,151
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-11 07:14,2026-04-11 18:35,2026-04-11,22.5,2.8,0.0,2.8,0.0,61,18.7,48
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-12 07:14,2026-04-12 18:33,2026-04-12,25.2,0.6,0.0,0.6,0.0,53,12.4,69
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-13 07:15,2026-04-13 18:32,2026-04-13,23.0,0.0,0.0,0.0,0.0,3,15.1,94
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-14 07:16,2026-04-14 18:31,2026-04-14,24.4,0.1,0.0,0.1,0.0,51,13.4,65
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-04-15 07:17,2026-04-15 18:30,2026-04-15,22.4,20.9,20.6,0.3,0.0,63,17.1,129
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-11 07:12,2026-04-11 19:48,2026-04-11,27.9,0.0,0.0,0.0,0.0,1,25.3,62
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-12 07:11,2026-04-12 19:49,2026-04-12,27.3,0.2,0.1,0.1,0.0,51,27.1,73
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-13 07:10,2026-04-13 19:49,2026-04-13,28.2,0.0,0.0,0.0,0.0,2,26.0,71
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-14 07:09,2026-04-14 19:49,2026-04-14,29.0,0.0,0.0,0.0,0.0,3,25.0,73
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-04-15 07:08,2026-04-15 19:50,2026-04-15,27.9,0.0,0.0,0.0,0.0,3,24.0,72
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-11 06:26,2026-04-11 19:21,2026-04-11,22.1,0.0,0.0,0.0,0.0,3,18.9,256
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-12 06:25,2026-04-12 19:22,2026-04-12,20.2,14.4,14.4,0.0,0.0,63,17.7,239
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-13 06:23,2026-04-13 19:22,2026-04-13,19.7,0.0,0.0,0.0,0.0,3,20.4,263
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-14 06:22,2026-04-14 19:23,2026-04-14,23.2,0.0,0.0,0.0,0.0,3,17.2,266
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-04-15 06:21,2026-04-15 19:24,2026-04-15,24.1,0.0,0.0,0.0,0.0,3,16.5,243
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-11 06:17,2026-04-11 19:38,2026-04-11,9.5,0.1,0.1,0.0,0.0,61,14.7,231
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-12 06:15,2026-04-12 19:40,2026-04-12,8.7,4.3,0.0,4.2,0.0,80,11.9,212
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-13 06:13,2026-04-13 19:41,2026-04-13,9.5,1.6,0.0,1.6,0.0,80,6.2,312
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-14 06:11,2026-04-14 19:42,2026-04-14,12.5,0.0,0.0,0.0,0.0,2,12.1,254
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-04-15 06:09,2026-04-15 19:44,2026-04-15,13.6,0.0,0.0,0.0,0.0,1,15.5,210
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-11 07:09,2026-04-11 19:19,2026-04-11,34.6,0.5,0.5,0.0,0.0,95,17.9,318
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-12 07:08,2026-04-12 19:19,2026-04-12,32.8,0.3,0.0,0.3,0.0,51,6.5,82
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-13 07:08,2026-04-13 19:19,2026-04-13,33.7,9.0,1.2,7.8,0.0,81,13.3,14
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-04-14 07:08,2026-04-14 19:19,2026-04-14,29.9,21.3,6.1,15.2,0.0,81,9.6,203
