city,country,latitude,longitude,timezone,utc_offset,daily_sunrise,daily_sunset,current_time,current_temperature_2m,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_wind_speed_10m,current_wind_direction_10m
Johannesburg,South Africa,-26.186293,28.125002,Africa/Johannesburg,2.0,2026-05-12 06:37,2026-05-12 17:30,2026-05-12 10:45,14.4,0.0,0.0,0.0,0.0,0,11.2,218
Tokyo,Japan,35.7,139.6875,Asia/Tokyo,9.0,2026-05-12 04:38,2026-05-12 18:36,2026-05-12 17:45,20.6,0.0,0.0,0.0,0.0,1,6.5,186
Lisbon,Portugal,38.75,-9.125,Europe/Lisbon,1.0,2026-05-12 06:26,2026-05-12 20:38,2026-05-12 09:45,15.8,0.1,0.0,0.1,0.0,80,10.9,226
Melbourne,Australia,-37.785587,144.93976,Australia/Melbourne,10.0,2026-05-12 07:10,2026-05-12 17:22,2026-05-12 18:45,16.6,0.0,0.0,0.0,0.0,1,4.8,117
Recife,Brazil,-8.049209,-34.923065,America/Recife,-3.0,2026-05-12 05:23,2026-05-12 17:08,2026-05-12 05:45,24.7,0.1,0.1,0.0,0.0,51,12.1,155
Buenos Aires,Argentina,-34.622143,-58.40909,America/Argentina/Buenos_Aires,-3.0,2026-05-12 07:38,2026-05-12 18:01,2026-05-12 05:45,10.6,0.0,0.0,0.0,0.0,0,15.4,303
Havana,Cuba,23.093145,-82.37448,America/Havana,-4.0,2026-05-12 06:49,2026-05-12 20:02,2026-05-12 04:45,24.8,0.0,0.0,0.0,0.0,0,5.1,108
Los Angeles,United States,34.060257,-118.23433,America/Los_Angeles,-7.0,2026-05-12 05:53,2026-05-12 19:45,2026-05-12 01:45,14.1,0.0,0.0,0.0,0.0,45,4.4,235
Odesa,Ukraine,46.5,30.75,Europe/Kiev,3.0,2026-05-12 05:26,2026-05-12 20:19,2026-05-12 11:45,14.8,0.0,0.0,0.0,0.0,3,21.4,160
Kuala Lumpur,Malaysia,3.1985939,101.694916,Asia/Kuala_Lumpur,8.0,2026-05-12 07:01,2026-05-12 19:17,2026-05-12 16:45,27.2,0.1,0.1,0.0,0.0,51,7.4,51
Kabul,Afghanistan,34.551846,69.23077,Asia/Kabul,4.5,2026-05-12 04:52,2026-05-12 18:46,2026-05-12 13:15,21.7,0.0,0.0,0.0,0.0,0,11.0,328
Accra,Ghana,5.5887523,-0.22406006,Africa/Accra,0.0,2026-05-12 05:46,2026-05-12 18:08,2026-05-12 08:45,29.5,0.1,0.1,0.0,0.0,51,10.4,225
